¹¤µ¥¿ªÊ¼-20220524223816,  3236 u0_a156      20   0  16G 243M 211M S  3.0   4.2  39:38.75 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524223837, 12737 u0_a156      10 -10  14G 158M 123M S  0.0   2.7   0:00.33 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524223841, 12737 u0_a156      10 -10  14G 160M 123M S  0.0   2.7   0:00.34 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524223844, 12737 u0_a156      10 -10  14G 160M 123M S  0.0   2.7   0:00.34 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224054, 13183 u0_a156      10 -10  14G 136M 108M S  0.0   2.3   0:00.20 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224054, 13183 u0_a156      10 -10  14G 136M 108M S  0.0   2.3   0:00.20 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224057, 13183 u0_a156      10 -10  14G 161M 126M S  0.0   2.7   0:00.38 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224057, 13183 u0_a156      10 -10  14G 161M 126M S  3.5   2.7   0:00.38 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224057, 13183 u0_a156      10 -10  14G 161M 126M S  3.3   2.7   0:00.38 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224057, 13183 u0_a156      10 -10  14G 161M 126M S  0.0   2.7   0:00.39 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224058, 13183 u0_a156      10 -10  14G 161M 126M S  0.0   2.7   0:00.39 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224100, 13183 u0_a156      10 -10  14G 233M 180M S 27.2   4.0   0:01.58 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224101, 13183 u0_a156      10 -10  14G 233M 180M S 33.3   4.0   0:01.62 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224101, 13183 u0_a156      10 -10  14G 233M 180M S 36.6   4.0   0:01.62 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224101, 13183 u0_a156      10 -10  14G 233M 180M S  6.6   4.0   0:01.72 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224101, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:01.74 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224104, 13183 u0_a156      10 -10  14G 237M 183M S 22.5   4.1   0:02.38 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224104, 13183 u0_a156      10 -10  14G 237M 183M S  3.3   4.1   0:02.45 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224104, 13183 u0_a156      10 -10  14G 237M 183M S  3.1   4.1   0:02.45 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224104, 13183 u0_a156      10 -10  14G 237M 183M S 10.0   4.1   0:02.46 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224104, 13183 u0_a156      10 -10  14G 237M 182M S 24.2   4.1   0:02.46 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224107, 13183 u0_a156      10 -10  14G 238M 182M S  0.0   4.1   0:02.55 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224108, 13183 u0_a156      10 -10  14G 238M 182M S  0.0   4.1   0:02.55 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224108, 13183 u0_a156      10 -10  14G 238M 182M S  0.0   4.1   0:02.55 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224108, 13183 u0_a156      10 -10  14G 238M 182M S  0.0   4.1   0:02.55 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224108, 13183 u0_a156      10 -10  14G 238M 182M S  3.3   4.1   0:02.55 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224111, 13183 u0_a156      10 -10  14G 236M 182M S 34.3   4.0   0:02.94 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224111, 13183 u0_a156      10 -10  14G 237M 182M S 20.0   4.1   0:02.99 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224111, 13183 u0_a156      10 -10  14G 237M 182M S 19.3   4.1   0:02.99 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224111, 13183 u0_a156      10 -10  14G 238M 183M S  3.0   4.1   0:03.05 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224111, 13183 u0_a156      10 -10  14G 238M 183M S  3.3   4.1   0:03.05 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224115, 13183 u0_a156      10 -10  14G 238M 182M S 64.5   4.1   0:03.44 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224115, 13183 u0_a156      10 -10  14G 238M 182M S 66.6   4.1   0:03.44 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224115,[1m 13183 u0_a156      10 -10  14G 239M 182M R 29.4   4.1   0:03.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224115, 13183 u0_a156      10 -10  14G 232M 183M S  0.0   4.0   0:03.64 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224115, 13183 u0_a156      10 -10  14G 232M 183M S  0.0   4.0   0:03.64 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224118, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:04.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224118, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:04.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224118, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:04.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224118, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:04.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224118, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:04.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224122, 13183 u0_a156      10 -10  14G 232M 181M S 87.0   4.0   0:04.95 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224122, 13183 u0_a156      10 -10  14G 233M 181M S 80.6   4.0   0:04.97 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224122, 13183 u0_a156      10 -10  14G 233M 181M S 70.0   4.0   0:05.01 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224122, 13183 u0_a156      10 -10  14G 231M 181M S  3.3   4.0   0:05.22 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224122, 13183 u0_a156      10 -10  14G 231M 181M S  2.9   4.0   0:05.22 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224125, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:05.73 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224125, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:05.73 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224125, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:05.73 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224125, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:05.73 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224125, 13183 u0_a156      10 -10  14G 233M 180M S  0.0   4.0   0:05.73 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224129, 13183 u0_a156      10 -10  14G 236M 181M S  0.0   4.0   0:06.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224129, 13183 u0_a156      10 -10  14G 236M 181M S  0.0   4.0   0:06.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224129, 13183 u0_a156      10 -10  14G 236M 181M S 39.3   4.0   0:06.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224129, 13183 u0_a156      10 -10  14G 236M 181M S 53.1   4.0   0:06.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224132, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224132, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224132, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224132, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224132, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224136, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224136, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224136, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224136, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224136, 13183 u0_a156      10 -10  14G 233M 181M S  0.0   4.0   0:06.84 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224139, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.87 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224139, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.87 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224139, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.87 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224139, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.87 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224139, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.87 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224143, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.88 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224143, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.88 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224143, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.88 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224143, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.88 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224143, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.88 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224146, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224146, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224146, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224146, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224146, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224150, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224150, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224150, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224150, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.89 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224153, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.90 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224153, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.90 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224153, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.90 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224153, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.90 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224153, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:06.90 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224157, 13183 u0_a156      10 -10  14G 235M 181M S  6.0   4.0   0:07.48 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224157, 13183 u0_a156      10 -10  14G 235M 181M S  6.2   4.0   0:07.48 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224157, 13183 u0_a156      10 -10  14G 234M 181M S  6.2   4.0   0:07.48 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224157, 13183 u0_a156      10 -10  14G 234M 181M S  6.0   4.0   0:07.48 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224157, 13183 u0_a156      10 -10  14G 234M 181M S  2.6   4.0   0:07.49 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224200, 13183 u0_a156      10 -10  14G 236M 181M S  3.0   4.0   0:07.93 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224200, 13183 u0_a156      10 -10  14G 236M 181M S  2.9   4.0   0:07.93 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224200, 13183 u0_a156      10 -10  14G 236M 181M S  2.9   4.0   0:07.93 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224201, 13183 u0_a156      10 -10  14G 236M 181M S  8.3   4.0   0:07.93 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224201, 13183 u0_a156      10 -10  14G 236M 181M S  6.0   4.0   0:07.94 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224204, 13183 u0_a156      10 -10  14G 237M 181M S  6.8   4.1   0:08.04 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224204, 13183 u0_a156      10 -10  14G 237M 181M S  6.8   4.1   0:08.04 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224204, 13183 u0_a156      10 -10  14G 237M 181M S  6.4   4.1   0:08.04 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224204, 13183 u0_a156      10 -10  14G 237M 181M S 74.1   4.1   0:08.05 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224204, 13183 u0_a156      10 -10  14G 237M 181M S 68.7   4.1   0:08.06 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224207, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.67 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224207, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.67 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224208, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.67 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224208, 13183 u0_a156      10 -10  14G 237M 181M S  6.4   4.1   0:08.67 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224211, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.81 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224211, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.81 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224211, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.81 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224211, 13183 u0_a156      10 -10  14G 237M 181M S 12.5   4.1   0:08.81 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224211, 13183 u0_a156      10 -10  14G 237M 181M S 13.3   4.1   0:08.81 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224214, 13183 u0_a156      10 -10  14G 237M 181M S  6.6   4.1   0:08.97 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224214, 13183 u0_a156      10 -10  14G 237M 181M S  6.6   4.1   0:08.97 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224214, 13183 u0_a156      10 -10  14G 237M 181M S  6.8   4.1   0:08.97 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224215, 13183 u0_a156      10 -10  14G 237M 181M S  6.2   4.1   0:08.97 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224215, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:08.99 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224218, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.12 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224218, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.12 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224218, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.12 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224218, 13183 u0_a156      10 -10  14G 237M 181M S  6.2   4.1   0:09.12 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224218, 13183 u0_a156      10 -10  14G 237M 181M S  6.8   4.1   0:09.12 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224221, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224221, 13183 u0_a156      10 -10  14G 237M 181M S  3.5   4.1   0:09.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224222, 13183 u0_a156      10 -10  14G 237M 181M S  3.5   4.1   0:09.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224222, 13183 u0_a156      10 -10  14G 237M 181M S  3.2   4.1   0:09.28 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224222,[1m 13183 u0_a156      10 -10  14G 237M 181M R  0.0   4.1   0:09.29 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224225, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.41 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224225, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.41 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224225, 13183 u0_a156      10 -10  14G 237M 181M S  0.0   4.1   0:09.41 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224225, 13183 u0_a156      10 -10  14G 237M 181M S 10.3   4.1   0:09.41 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224225, 13183 u0_a156      10 -10  14G 237M 181M S  9.3   4.1   0:09.41 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224228, 13183 u0_a156      10 -10  14G 238M 181M S  0.0   4.1   0:09.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224228, 13183 u0_a156      10 -10  14G 238M 181M S  0.0   4.1   0:09.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224228, 13183 u0_a156      10 -10  14G 238M 181M S  6.8   4.1   0:09.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224229, 13183 u0_a156      10 -10  14G 238M 181M S 10.0   4.1   0:09.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224229, 13183 u0_a156      10 -10  14G 238M 181M S 10.0   4.1   0:09.54 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224232, 13183 u0_a156      10 -10  14G 238M 181M S  6.8   4.1   0:09.69 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224232, 13183 u0_a156      10 -10  14G 238M 181M S  6.8   4.1   0:09.69 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224232, 13183 u0_a156      10 -10  14G 238M 181M S  0.0   4.1   0:09.71 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224232, 13183 u0_a156      10 -10  14G 238M 181M S  0.0   4.1   0:09.71 com.wisdom.min+
